U_gain	E_gain	150c	170c	26_RANGE2c	16_RANGE2c	16c	26c	30c	60c	90c	120c	150_BOOSTc	170_BOOSTc	170f	16_RANGE2f	26_RANGE2f	16f	26f	30f	60f	90f	120f	150f	150_BOOSTf	170_BOOSTf
0.0	0.12	0.19	0.5	0.06	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
0.01	0.36	0.38	0.12	0.06	0	0	0	0	0	0	0	0	0	0.06	0.38	0	0	0	0	0	0	0	0	0	0
0.01	0.41	0.19	0.12	0.25	0	0	0	0	0	0	0	0	0	0.38	0.06	0	0	0	0	0	0	0	0	0	0
0.0	0.29	0.25	0.12	0.19	0	0	0	0	0	0	0	0	0	0.06	0.31	0.06	0	0	0	0	0	0	0	0	0
0.01	0.13	0.38	0.12	0.06	0	0	0	0	0	0	0	0	0	0.12	0.25	0.06	0	0	0	0	0	0	0	0	0
0.0	0.15	0.38	0.12	0.12	0	0	0	0	0	0	0	0	0	0.12	0.06	0.19	0	0	0	0	0	0	0	0	0
0.01	0.64	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
0.01	0.47	0.12	0.31	0.19	0	0	0	0	0	0	0	0	0	0.06	0.31	0	0	0	0	0	0	0	0	0	0
0.02	0.3	0.38	0.12	0	0	0	0	0	0	0	0	0	0	0.25	0.12	0.06	0.06	0	0	0	0	0	0	0	0
0.0	0.34	0.44	0.06	0	0	0	0	0	0	0	0	0	0	0.31	0.12	0.06	0	0	0	0	0	0	0	0	0
0.0	0.18	0.5	0.19	0	0	0	0	0	0	0	0	0	0	0.06	0.25	0	0	0	0	0	0	0	0	0	0
0.02	0.51	0.12	0.12	0.38	0	0	0	0	0	0	0	0	0	0.31	0.06	0	0	0	0	0	0	0	0	0	0
0.01	0.14	0.5	0.06	0	0	0	0	0	0	0	0	0	0	0.31	0.06	0.06	0	0	0	0	0	0	0	0	0
0.01	0.35	0.38	0.12	0.19	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0
0.0	0.11	0.38	0.25	0	0	0	0	0	0	0	0	0	0	0.06	0.19	0.12	0	0	0	0	0	0	0	0	0
0.0	0.24	0.12	0.44	0.12	0	0	0	0	0	0	0	0	0	0.06	0.25	0	0	0	0	0	0	0	0	0	0
0.0	0.18	0.44	0.19	0	0	0	0	0	0	0	0	0	0	0.31	0.06	0	0	0	0	0	0	0	0	0	0
