U_gain	E_gain	170c	150c	16_RANGE2c	26_RANGE2c	16c	26c	30c	60c	90c	120c	150_BOOSTc	170_BOOSTc	26_RANGE2f	170f	150f	16_RANGE2f	16f	26f	30f	60f	90f	120f	150_BOOSTf	170_BOOSTf
-0.0	0.31	0.31	0.12	0	0	0	0	0	0	0	0	0	0	0.19	0.34	0.03	0	0	0	0	0	0	0	0	0
0.0	0.5	0.06	0.22	0.06	0	0	0	0	0	0	0	0	0	0.5	0.12	0.03	0	0	0	0	0	0	0	0	0
-0.0	0.26	0.28	0.09	0	0	0	0	0	0	0	0	0	0	0.25	0.34	0.03	0	0	0	0	0	0	0	0	0
-0.0	0.18	0.31	0.03	0	0	0	0	0	0	0	0	0	0	0.34	0.12	0.19	0	0	0	0	0	0	0	0	0
-0.0	0.38	0.25	0.03	0	0	0	0	0	0	0	0	0	0	0.5	0.16	0.06	0	0	0	0	0	0	0	0	0
0.0	0.2	0.34	0.03	0	0	0	0	0	0	0	0	0	0	0.22	0.31	0.09	0	0	0	0	0	0	0	0	0
-0.0	0.46	0.06	0.09	0.22	0	0	0	0	0	0	0	0	0	0.03	0.44	0.09	0.03	0.03	0	0	0	0	0	0	0
-0.0	0.21	0.34	0.06	0	0	0	0	0	0	0	0	0	0	0.34	0.22	0.03	0	0	0	0	0	0	0	0	0
-0.0	0.4	0.03	0.31	0	0	0	0	0	0	0	0	0	0	0.16	0.41	0.09	0	0	0	0	0	0	0	0	0
-0.0	0.4	0.06	0.28	0.03	0	0	0	0	0	0	0	0	0	0.44	0.12	0.06	0	0	0	0	0	0	0	0	0
0.0	0.3	0.28	0.09	0	0	0	0	0	0	0	0	0	0	0.31	0.25	0.06	0	0	0	0	0	0	0	0	0
0.0	0.29	0.47	0	0	0	0	0	0	0	0	0	0	0	0.34	0.12	0.06	0	0	0	0	0	0	0	0	0
0.0	0.34	0.06	0.34	0.03	0	0	0	0	0	0	0	0	0	0.34	0.16	0.06	0	0	0	0	0	0	0	0	0
0.0	0.2	0.25	0.03	0	0	0	0	0	0	0	0	0	0	0.38	0.28	0.06	0	0	0	0	0	0	0	0	0
-0.0	0.35	0.22	0.09	0	0	0	0	0	0	0	0	0	0	0.25	0.28	0.16	0	0	0	0	0	0	0	0	0
-0.0	0.27	0.38	0	0	0	0	0	0	0	0	0	0	0	0.28	0.16	0.19	0	0	0	0	0	0	0	0	0
0.0	0.33	0.34	0.03	0	0	0	0	0	0	0	0	0	0	0.25	0.12	0.25	0	0	0	0	0	0	0	0	0
0.0	0.24	0.28	0.03	0	0	0	0	0	0	0	0	0	0	0.38	0.09	0.22	0	0	0	0	0	0	0	0	0
-0.0	0.23	0.03	0.28	0	0	0	0	0	0	0	0	0	0	0.12	0.31	0.25	0	0	0	0	0	0	0	0	0
-0.0	0.23	0.38	0.03	0	0	0	0	0	0	0	0	0	0	0.28	0.19	0.12	0	0	0	0	0	0	0	0	0
0.0	0.28	0.22	0.09	0	0	0	0	0	0	0	0	0	0	0.28	0.28	0.03	0.09	0	0	0	0	0	0	0	0
-0.0	0.31	0.25	0.16	0	0	0	0	0	0	0	0	0	0	0.31	0.03	0.25	0	0	0	0	0	0	0	0	0
-0.0	0.25	0.44	0.03	0	0	0	0	0	0	0	0	0	0	0.16	0.09	0.28	0	0	0	0	0	0	0	0	0
-0.0	0.24	0.41	0	0	0	0	0	0	0	0	0	0	0	0.31	0.19	0.09	0	0	0	0	0	0	0	0	0
0.01	0.3	0.25	0.12	0	0	0	0	0	0	0	0	0	0	0.12	0.31	0.19	0	0	0	0	0	0	0	0	0
-0.0	0.31	0.25	0.06	0	0	0	0	0	0	0	0	0	0	0.31	0.25	0.12	0	0	0	0	0	0	0	0	0
0.0	0.15	0.41	0.06	0	0	0	0	0	0	0	0	0	0	0.28	0.22	0.03	0	0	0	0	0	0	0	0	0
0.0	0.21	0.28	0.03	0	0	0	0	0	0	0	0	0	0	0.16	0.28	0.25	0	0	0	0	0	0	0	0	0
