U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	72c	24c	48c	48f	24f	72f
0.19253158578555424	0.25749590690003915	0.0004921875	0.142825	0.897625	0.875	0	0	0.125	0	0
0.07809070468382305	0.186473199128476	0.00631640625	0.0	0.593375	0.75	0.125	0	0.125	0	0
0.12643673371308248	0.34950095583171065	0.00747265625	0.08695	0.771125	0.75	0	0	0.25	0	0
0.3743116120327011	0.3236717180827399	0.0	0.0691	0.75025	0.875	0.125	0	0	0	0
0.12064917045665761	0.19122835498400179	0.0	0.313475	0.77975	0.375	0.625	0	0	0	0
0.15116540027190356	0.2261714449026252	0.00252734375	0.0	0.9245	0.625	0.25	0	0.125	0	0
0.004552078022922867	0.22770628390137543	0.001234375	0.22035	0.966375	0.625	0.25	0	0.125	0	0
0.11387309412786793	0.21910243911030047	0.0	0.24285	0.727	0.75	0.25	0	0	0	0
0.2675979332492268	0.27990706641413515	0.0040078125	0.114375	0.987375	0.75	0	0	0.25	0	0
0.029197075077949067	0.15142615387221117	0.0084921875	0.12755	0.9125	0.625	0.125	0	0.25	0	0
0.16479801566266275	0.2042884101533441	0.01017578125	0.0	0.50225	0.625	0.125	0	0.25	0	0
0.16161470407642997	0.20323361698909762	0.0030234375	0.13085	0.9315	0.625	0.25	0	0.125	0	0
0.00997368078506836	0.030952110440118013	0.0054453125	0.0	0.489375	0.625	0	0	0.25	0.125	0
0.2890685297922834	0.3026281542294426	0.00605859375	0.0	0.817125	0.5	0.25	0	0.25	0	0
0.3768514387038352	0.3386013739101587	0.0	0.059775	0.99575	0.875	0.125	0	0	0	0
0.2043752510474533	0.23056519892047214	0.002828125	0.0	0.64325	0.75	0.125	0	0.125	0	0
0.3281854247232964	0.2905192483547338	0.0	0.3988	0.950875	1.0	0	0	0	0	0
0.42323616870907954	0.38445400777264854	0.0	0.233525	0.945125	1.0	0	0	0	0	0
0.014915579939207687	0.1590029489210736	0.0	0.242125	0.7295	0.75	0.25	0	0	0	0
0.176692509405454	0.24210283627667847	0.0	0.29125	0.833125	0.75	0.25	0	0	0	0
0.22219104479270563	0.19745709030829361	0.0	0.3239	0.89175	1.0	0	0	0	0	0
0.06066529679198147	0.15931129417395465	0.0	0.0	0.98575	0.5	0.5	0	0	0	0
0.25746038228026374	0.24073220486979868	0.00577734375	0.030225	0.955	0.875	0	0	0.125	0	0
0.11565628082068091	0.15760685123377688	0.0	0.1372	0.77075	0.75	0.25	0	0	0	0
0.04726952297030178	0.20688663575106495	0.01153125	0.01845	0.579625	0.5	0.125	0	0.25	0.125	0
0.051645288689019804	0.1897702819597021	0.00539453125	0.1342	0.866625	0.375	0.5	0	0.125	0	0
0.10193807986627319	0.22704645514357336	0.00638671875	0.0906	0.9615	0.75	0	0	0.25	0	0
0.06678676504732303	0.17101659156144006	0.0355234375	0.0	0.96625	0.375	0.125	0	0.375	0.125	0
0.0003576586455404661	0.12598758492783801	0.01112109375	0.0	0.58	0.75	0	0	0.25	0	0
0.02720840105013141	0.1750606185557812	0.007046875	0.290375	0.37125	0.625	0.125	0	0.25	0	0
0.010311311882804194	0.1776720851583358	0.00531640625	0.0594	0.778375	0.5	0.25	0	0.25	0	0
0.2793608065400416	0.25765890899725546	0.0008203125	0.083925	0.761375	0.875	0	0	0.125	0	0
0.2718390899250633	0.2346178300208847	0.0	0.0	0.92425	0.875	0.125	0	0	0	0
0.07739156454284114	0.20704440036961114	0.0021171875	0.0	0.539125	0.75	0.125	0	0.125	0	0
0.14053187738933534	0.2572015923503727	0.004140625	0.083925	0.83775	0.75	0	0	0.25	0	0
0.0004831682118338595	0.1926757376981591	0.0063125	0.03545	0.56375	0.75	0.125	0	0.125	0	0
0.16999052706730783	0.16269848010449817	0.0	0.13075	0.962	0.875	0.125	0	0	0	0
0.02012726637319734	0.0981068230298148	0.00387890625	0.0	0.68375	0.625	0.25	0	0.125	0	0
0.0027935361068689244	0.11939888810581	0.005234375	0.0	0.976875	0.625	0.25	0	0.125	0	0
